plats,kommun,prioritet,status,lon,lat,kopplad_nod,fragor
Bingsjö,Rättvik,1,Nulägesrad finns; förändring behöver verifieras,15.64771367376135,61.024605854823484,7914,Tidigare service? Aktör? Datum? Alternativ? Lokal betydelse?
By,Avesta,1,Ingen exakt match; geografi och förändring behöver verifieras,,,,Vilket By? Tidigare service? Datum? Närmaste alternativ? Konsekvenser?
