"Region","Alder","Kon","000007Y7 2024"
"2081C1110_DeSO2025","totalt","1+2",1839
"2081C1110_DeSO2025","65-69","1+2",113
"2081C1110_DeSO2025","70-74","1+2",102
"2081C1110_DeSO2025","75-79","1+2",100
"2081C1110_DeSO2025","80-","1+2",170
"2081C1120_DeSO2025","totalt","1+2",1804
"2081C1120_DeSO2025","65-69","1+2",77
"2081C1120_DeSO2025","70-74","1+2",92
"2081C1120_DeSO2025","75-79","1+2",65
"2081C1120_DeSO2025","80-","1+2",97
"2081C1130_DeSO2025","totalt","1+2",1573
"2081C1130_DeSO2025","65-69","1+2",91
"2081C1130_DeSO2025","70-74","1+2",81
"2081C1130_DeSO2025","75-79","1+2",122
"2081C1130_DeSO2025","80-","1+2",224
"2081C1140_DeSO2025","totalt","1+2",2459
"2081C1140_DeSO2025","65-69","1+2",72
"2081C1140_DeSO2025","70-74","1+2",63
"2081C1140_DeSO2025","75-79","1+2",51
"2081C1140_DeSO2025","80-","1+2",51
"2081C1150_DeSO2025","totalt","1+2",1941
"2081C1150_DeSO2025","65-69","1+2",74
"2081C1150_DeSO2025","70-74","1+2",72
"2081C1150_DeSO2025","75-79","1+2",62
"2081C1150_DeSO2025","80-","1+2",60
"2081C1160_DeSO2025","totalt","1+2",1619
"2081C1160_DeSO2025","65-69","1+2",106
"2081C1160_DeSO2025","70-74","1+2",115
"2081C1160_DeSO2025","75-79","1+2",109
"2081C1160_DeSO2025","80-","1+2",176
"2081C1170_DeSO2025","totalt","1+2",2293
"2081C1170_DeSO2025","65-69","1+2",86
"2081C1170_DeSO2025","70-74","1+2",80
"2081C1170_DeSO2025","75-79","1+2",71
"2081C1170_DeSO2025","80-","1+2",106
"2081C1180_DeSO2025","totalt","1+2",2276
"2081C1180_DeSO2025","65-69","1+2",89
"2081C1180_DeSO2025","70-74","1+2",76
"2081C1180_DeSO2025","75-79","1+2",92
"2081C1180_DeSO2025","80-","1+2",121
"2081C1190_DeSO2025","totalt","1+2",1767
"2081C1190_DeSO2025","65-69","1+2",111
"2081C1190_DeSO2025","70-74","1+2",76
"2081C1190_DeSO2025","75-79","1+2",86
"2081C1190_DeSO2025","80-","1+2",116
"2081C1200_DeSO2025","totalt","1+2",1816
"2081C1200_DeSO2025","65-69","1+2",84
"2081C1200_DeSO2025","70-74","1+2",91
"2081C1200_DeSO2025","75-79","1+2",99
"2081C1200_DeSO2025","80-","1+2",158
"2081C1210_DeSO2025","totalt","1+2",2386
"2081C1210_DeSO2025","65-69","1+2",101
"2081C1210_DeSO2025","70-74","1+2",118
"2081C1210_DeSO2025","75-79","1+2",77
"2081C1210_DeSO2025","80-","1+2",74
"2081C1220_DeSO2025","totalt","1+2",1779
"2081C1220_DeSO2025","65-69","1+2",120
"2081C1220_DeSO2025","70-74","1+2",107
"2081C1220_DeSO2025","75-79","1+2",106
"2081C1220_DeSO2025","80-","1+2",120
"2081C1230_DeSO2025","totalt","1+2",1679
"2081C1230_DeSO2025","65-69","1+2",92
"2081C1230_DeSO2025","70-74","1+2",78
"2081C1230_DeSO2025","75-79","1+2",89
"2081C1230_DeSO2025","80-","1+2",164
"2082A0010_DeSO2025","totalt","1+2",1303
"2082A0010_DeSO2025","65-69","1+2",130
"2082A0010_DeSO2025","70-74","1+2",101
"2082A0010_DeSO2025","75-79","1+2",88
"2082A0010_DeSO2025","80-","1+2",94
"2082A0020_DeSO2025","totalt","1+2",903
"2082A0020_DeSO2025","65-69","1+2",66
"2082A0020_DeSO2025","70-74","1+2",52
"2082A0020_DeSO2025","75-79","1+2",38
"2082A0020_DeSO2025","80-","1+2",62
"2082A0030_DeSO2025","totalt","1+2",2235
"2082A0030_DeSO2025","65-69","1+2",162
"2082A0030_DeSO2025","70-74","1+2",162
"2082A0030_DeSO2025","75-79","1+2",134
"2082A0030_DeSO2025","80-","1+2",167
"2082B2010_DeSO2025","totalt","1+2",868
"2082B2010_DeSO2025","65-69","1+2",46
"2082B2010_DeSO2025","70-74","1+2",48
"2082B2010_DeSO2025","75-79","1+2",34
"2082B2010_DeSO2025","80-","1+2",44
"2082B2020_DeSO2025","totalt","1+2",1104
"2082B2020_DeSO2025","65-69","1+2",54
"2082B2020_DeSO2025","70-74","1+2",73
"2082B2020_DeSO2025","75-79","1+2",75
"2082B2020_DeSO2025","80-","1+2",100
"2082C1010_DeSO2025","totalt","1+2",1816
"2082C1010_DeSO2025","65-69","1+2",121
"2082C1010_DeSO2025","70-74","1+2",107
"2082C1010_DeSO2025","75-79","1+2",144
"2082C1010_DeSO2025","80-","1+2",203
"2082C1020_DeSO2025","totalt","1+2",1322
"2082C1020_DeSO2025","65-69","1+2",76
"2082C1020_DeSO2025","70-74","1+2",105
"2082C1020_DeSO2025","75-79","1+2",108
"2082C1020_DeSO2025","80-","1+2",66
"2082C1030_DeSO2025","totalt","1+2",1672
"2082C1030_DeSO2025","65-69","1+2",96
"2082C1030_DeSO2025","70-74","1+2",101
"2082C1030_DeSO2025","75-79","1+2",106
"2082C1030_DeSO2025","80-","1+2",159
"2083A0010_DeSO2025","totalt","1+2",1067
"2083A0010_DeSO2025","65-69","1+2",85
"2083A0010_DeSO2025","70-74","1+2",67
"2083A0010_DeSO2025","75-79","1+2",64
"2083A0010_DeSO2025","80-","1+2",64
"2083A0020_DeSO2025","totalt","1+2",1106
"2083A0020_DeSO2025","65-69","1+2",92
"2083A0020_DeSO2025","70-74","1+2",80
"2083A0020_DeSO2025","75-79","1+2",75
"2083A0020_DeSO2025","80-","1+2",70
"2083A0030_DeSO2025","totalt","1+2",940
"2083A0030_DeSO2025","65-69","1+2",82
"2083A0030_DeSO2025","70-74","1+2",78
"2083A0030_DeSO2025","75-79","1+2",49
"2083A0030_DeSO2025","80-","1+2",42
"2083A0040_DeSO2025","totalt","1+2",1371
"2083A0040_DeSO2025","65-69","1+2",83
"2083A0040_DeSO2025","70-74","1+2",59
"2083A0040_DeSO2025","75-79","1+2",69
"2083A0040_DeSO2025","80-","1+2",71
"2083A0050_DeSO2025","totalt","1+2",1621
"2083A0050_DeSO2025","65-69","1+2",116
"2083A0050_DeSO2025","70-74","1+2",106
"2083A0050_DeSO2025","75-79","1+2",135
"2083A0050_DeSO2025","80-","1+2",131
"2083B2010_DeSO2025","totalt","1+2",1498
"2083B2010_DeSO2025","65-69","1+2",111
"2083B2010_DeSO2025","70-74","1+2",117
"2083B2010_DeSO2025","75-79","1+2",147
"2083B2010_DeSO2025","80-","1+2",152
"2083C1010_DeSO2025","totalt","1+2",2021
"2083C1010_DeSO2025","65-69","1+2",119
"2083C1010_DeSO2025","70-74","1+2",100
"2083C1010_DeSO2025","75-79","1+2",109
"2083C1010_DeSO2025","80-","1+2",85
"2083C1020_DeSO2025","totalt","1+2",2052
"2083C1020_DeSO2025","65-69","1+2",132
"2083C1020_DeSO2025","70-74","1+2",124
"2083C1020_DeSO2025","75-79","1+2",154
"2083C1020_DeSO2025","80-","1+2",232
"2083C1030_DeSO2025","totalt","1+2",1857
"2083C1030_DeSO2025","65-69","1+2",128
"2083C1030_DeSO2025","70-74","1+2",114
"2083C1030_DeSO2025","75-79","1+2",131
"2083C1030_DeSO2025","80-","1+2",156
"2083C1040_DeSO2025","totalt","1+2",1748
"2083C1040_DeSO2025","65-69","1+2",129
"2083C1040_DeSO2025","70-74","1+2",101
"2083C1040_DeSO2025","75-79","1+2",106
"2083C1040_DeSO2025","80-","1+2",191
"2084A0010_DeSO2025","totalt","1+2",1386
"2084A0010_DeSO2025","65-69","1+2",100
"2084A0010_DeSO2025","70-74","1+2",96
"2084A0010_DeSO2025","75-79","1+2",114
"2084A0010_DeSO2025","80-","1+2",95
"2084A0020_DeSO2025","totalt","1+2",1978
"2084A0020_DeSO2025","65-69","1+2",154
"2084A0020_DeSO2025","70-74","1+2",161
"2084A0020_DeSO2025","75-79","1+2",143
"2084A0020_DeSO2025","80-","1+2",140
"2084A0030_DeSO2025","totalt","1+2",1262
"2084A0030_DeSO2025","65-69","1+2",112
"2084A0030_DeSO2025","70-74","1+2",115
"2084A0030_DeSO2025","75-79","1+2",90
"2084A0030_DeSO2025","80-","1+2",101
"2084B2010_DeSO2025","totalt","1+2",1081
"2084B2010_DeSO2025","65-69","1+2",79
"2084B2010_DeSO2025","70-74","1+2",96
"2084B2010_DeSO2025","75-79","1+2",82
"2084B2010_DeSO2025","80-","1+2",114
"2084C1010_DeSO2025","totalt","1+2",1199
"2084C1010_DeSO2025","65-69","1+2",83
"2084C1010_DeSO2025","70-74","1+2",50
"2084C1010_DeSO2025","75-79","1+2",54
"2084C1010_DeSO2025","80-","1+2",68
"2084C1020_DeSO2025","totalt","1+2",1245
"2084C1020_DeSO2025","65-69","1+2",74
"2084C1020_DeSO2025","70-74","1+2",64
"2084C1020_DeSO2025","75-79","1+2",70
"2084C1020_DeSO2025","80-","1+2",124
"2084C1030_DeSO2025","totalt","1+2",2064
"2084C1030_DeSO2025","65-69","1+2",129
"2084C1030_DeSO2025","70-74","1+2",112
"2084C1030_DeSO2025","75-79","1+2",119
"2084C1030_DeSO2025","80-","1+2",120
"2084C1040_DeSO2025","totalt","1+2",2010
"2084C1040_DeSO2025","65-69","1+2",113
"2084C1040_DeSO2025","70-74","1+2",112
"2084C1040_DeSO2025","75-79","1+2",130
"2084C1040_DeSO2025","80-","1+2",186
"2084C1050_DeSO2025","totalt","1+2",2195
"2084C1050_DeSO2025","65-69","1+2",125
"2084C1050_DeSO2025","70-74","1+2",135
"2084C1050_DeSO2025","75-79","1+2",153
"2084C1050_DeSO2025","80-","1+2",271
"2084C1060_DeSO2025","totalt","1+2",2324
"2084C1060_DeSO2025","65-69","1+2",161
"2084C1060_DeSO2025","70-74","1+2",164
"2084C1060_DeSO2025","75-79","1+2",141
"2084C1060_DeSO2025","80-","1+2",206
"2084C1070_DeSO2025","totalt","1+2",1809
"2084C1070_DeSO2025","65-69","1+2",110
"2084C1070_DeSO2025","70-74","1+2",86
"2084C1070_DeSO2025","75-79","1+2",80
"2084C1070_DeSO2025","80-","1+2",80
"2084C1080_DeSO2025","totalt","1+2",1392
"2084C1080_DeSO2025","65-69","1+2",94
"2084C1080_DeSO2025","70-74","1+2",98
"2084C1080_DeSO2025","75-79","1+2",69
"2084C1080_DeSO2025","80-","1+2",69
"2084C1090_DeSO2025","totalt","1+2",2472
"2084C1090_DeSO2025","65-69","1+2",149
"2084C1090_DeSO2025","70-74","1+2",126
"2084C1090_DeSO2025","75-79","1+2",180
"2084C1090_DeSO2025","80-","1+2",231
"2085A0010_DeSO2025","totalt","1+2",1222
"2085A0010_DeSO2025","65-69","1+2",97
"2085A0010_DeSO2025","70-74","1+2",82
"2085A0010_DeSO2025","75-79","1+2",77
"2085A0010_DeSO2025","80-","1+2",73
"2085A0020_DeSO2025","totalt","1+2",696
"2085A0020_DeSO2025","65-69","1+2",63
"2085A0020_DeSO2025","70-74","1+2",61
"2085A0020_DeSO2025","75-79","1+2",67
"2085A0020_DeSO2025","80-","1+2",63
"2085A0030_DeSO2025","totalt","1+2",1129
"2085A0030_DeSO2025","65-69","1+2",91
"2085A0030_DeSO2025","70-74","1+2",91
"2085A0030_DeSO2025","75-79","1+2",89
"2085A0030_DeSO2025","80-","1+2",68
"2085A0040_DeSO2025","totalt","1+2",2290
"2085A0040_DeSO2025","65-69","1+2",190
"2085A0040_DeSO2025","70-74","1+2",159
"2085A0040_DeSO2025","75-79","1+2",138
"2085A0040_DeSO2025","80-","1+2",141
"2085B2010_DeSO2025","totalt","1+2",1536
"2085B2010_DeSO2025","65-69","1+2",99
"2085B2010_DeSO2025","70-74","1+2",76
"2085B2010_DeSO2025","75-79","1+2",84
"2085B2010_DeSO2025","80-","1+2",153
"2085B2020_DeSO2025","totalt","1+2",1054
"2085B2020_DeSO2025","65-69","1+2",62
"2085B2020_DeSO2025","70-74","1+2",60
"2085B2020_DeSO2025","75-79","1+2",37
"2085B2020_DeSO2025","80-","1+2",36
"2085B2030_DeSO2025","totalt","1+2",816
"2085B2030_DeSO2025","65-69","1+2",49
"2085B2030_DeSO2025","70-74","1+2",46
"2085B2030_DeSO2025","75-79","1+2",63
"2085B2030_DeSO2025","80-","1+2",85
"2085B3010_DeSO2025","totalt","1+2",799
"2085B3010_DeSO2025","65-69","1+2",45
"2085B3010_DeSO2025","70-74","1+2",55
"2085B3010_DeSO2025","75-79","1+2",72
"2085B3010_DeSO2025","80-","1+2",124
"2085B3020_DeSO2025","totalt","1+2",1189
"2085B3020_DeSO2025","65-69","1+2",88
"2085B3020_DeSO2025","70-74","1+2",100
"2085B3020_DeSO2025","75-79","1+2",86
"2085B3020_DeSO2025","80-","1+2",91
"2085C1010_DeSO2025","totalt","1+2",1695
"2085C1010_DeSO2025","65-69","1+2",101
"2085C1010_DeSO2025","70-74","1+2",103
"2085C1010_DeSO2025","75-79","1+2",100
"2085C1010_DeSO2025","80-","1+2",137
"2085C1020_DeSO2025","totalt","1+2",1888
"2085C1020_DeSO2025","65-69","1+2",93
"2085C1020_DeSO2025","70-74","1+2",109
"2085C1020_DeSO2025","75-79","1+2",102
"2085C1020_DeSO2025","80-","1+2",112
"2085C1030_DeSO2025","totalt","1+2",2051
"2085C1030_DeSO2025","65-69","1+2",73
"2085C1030_DeSO2025","70-74","1+2",84
"2085C1030_DeSO2025","75-79","1+2",82
"2085C1030_DeSO2025","80-","1+2",161
"2085C1040_DeSO2025","totalt","1+2",1624
"2085C1040_DeSO2025","65-69","1+2",76
"2085C1040_DeSO2025","70-74","1+2",60
"2085C1040_DeSO2025","75-79","1+2",66
"2085C1040_DeSO2025","80-","1+2",50
"2085C1050_DeSO2025","totalt","1+2",1412
"2085C1050_DeSO2025","65-69","1+2",59
"2085C1050_DeSO2025","70-74","1+2",56
"2085C1050_DeSO2025","75-79","1+2",56
"2085C1050_DeSO2025","80-","1+2",65
"2085C1060_DeSO2025","totalt","1+2",1767
"2085C1060_DeSO2025","65-69","1+2",94
"2085C1060_DeSO2025","70-74","1+2",111
"2085C1060_DeSO2025","75-79","1+2",127
"2085C1060_DeSO2025","80-","1+2",204
"2085C1070_DeSO2025","totalt","1+2",1131
"2085C1070_DeSO2025","65-69","1+2",75
"2085C1070_DeSO2025","70-74","1+2",86
"2085C1070_DeSO2025","75-79","1+2",94
"2085C1070_DeSO2025","80-","1+2",140
"2085C1080_DeSO2025","totalt","1+2",1984
"2085C1080_DeSO2025","65-69","1+2",55
"2085C1080_DeSO2025","70-74","1+2",70
"2085C1080_DeSO2025","75-79","1+2",85
"2085C1080_DeSO2025","80-","1+2",131
"2085C1090_DeSO2025","totalt","1+2",2351
"2085C1090_DeSO2025","65-69","1+2",120
"2085C1090_DeSO2025","70-74","1+2",105
"2085C1090_DeSO2025","75-79","1+2",147
"2085C1090_DeSO2025","80-","1+2",198
