"Region","Alder","Kon","000007Y7 2024"
"2029C1050_DeSO2025","totalt","1+2",2519
"2029C1050_DeSO2025","65-69","1+2",135
"2029C1050_DeSO2025","70-74","1+2",162
"2029C1050_DeSO2025","75-79","1+2",223
"2029C1050_DeSO2025","80-","1+2",365
"2029C1060_DeSO2025","totalt","1+2",1706
"2029C1060_DeSO2025","65-69","1+2",87
"2029C1060_DeSO2025","70-74","1+2",94
"2029C1060_DeSO2025","75-79","1+2",81
"2029C1060_DeSO2025","80-","1+2",93
"2029C1070_DeSO2025","totalt","1+2",1299
"2029C1070_DeSO2025","65-69","1+2",125
"2029C1070_DeSO2025","70-74","1+2",100
"2029C1070_DeSO2025","75-79","1+2",117
"2029C1070_DeSO2025","80-","1+2",138
"2031A0010_DeSO2025","totalt","1+2",2659
"2031A0010_DeSO2025","65-69","1+2",206
"2031A0010_DeSO2025","70-74","1+2",195
"2031A0010_DeSO2025","75-79","1+2",228
"2031A0010_DeSO2025","80-","1+2",248
"2031A0020_DeSO2025","totalt","1+2",1077
"2031A0020_DeSO2025","65-69","1+2",83
"2031A0020_DeSO2025","70-74","1+2",104
"2031A0020_DeSO2025","75-79","1+2",81
"2031A0020_DeSO2025","80-","1+2",118
"2031C1010_DeSO2025","totalt","1+2",2207
"2031C1010_DeSO2025","65-69","1+2",199
"2031C1010_DeSO2025","70-74","1+2",176
"2031C1010_DeSO2025","75-79","1+2",181
"2031C1010_DeSO2025","80-","1+2",159
"2031C1020_DeSO2025","totalt","1+2",1896
"2031C1020_DeSO2025","65-69","1+2",114
"2031C1020_DeSO2025","70-74","1+2",170
"2031C1020_DeSO2025","75-79","1+2",189
"2031C1020_DeSO2025","80-","1+2",302
"2031C1030_DeSO2025","totalt","1+2",1820
"2031C1030_DeSO2025","65-69","1+2",117
"2031C1030_DeSO2025","70-74","1+2",114
"2031C1030_DeSO2025","75-79","1+2",130
"2031C1030_DeSO2025","80-","1+2",212
"2031C1040_DeSO2025","totalt","1+2",1339
"2031C1040_DeSO2025","65-69","1+2",84
"2031C1040_DeSO2025","70-74","1+2",108
"2031C1040_DeSO2025","75-79","1+2",113
"2031C1040_DeSO2025","80-","1+2",135
"2034A0010_DeSO2025","totalt","1+2",1280
"2034A0010_DeSO2025","65-69","1+2",111
"2034A0010_DeSO2025","70-74","1+2",100
"2034A0010_DeSO2025","75-79","1+2",87
"2034A0010_DeSO2025","80-","1+2",96
"2034C1010_DeSO2025","totalt","1+2",1321
"2034C1010_DeSO2025","65-69","1+2",98
"2034C1010_DeSO2025","70-74","1+2",90
"2034C1010_DeSO2025","75-79","1+2",106
